"Drug_CID","INCHI_Key","SMILES_CAN","SMILES_ISO"
864,"AGBQKNBQESQNJD-UHFFFAOYSA-N","C1CSSC1CCCCC(=O)O","C1CSSC1CCCCC(=O)O"
1018,"SIOXPEMLGUPBBT-UHFFFAOYSA-N","C1=CC=NC(=C1)C(=O)O","C1=CC=NC(=C1)C(=O)O"
1401,"DXCUKNQANPLTEJ-UHFFFAOYSA-N","CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C","CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C"
2332,"PXXJHWLDUBFPOL-UHFFFAOYSA-N","C1=CC=C(C=C1)C(=N)N","C1=CC=C(C=C1)C(=N)N"
2375,"LKJPYSCBVHEWIU-UHFFFAOYSA-N","CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O","CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O"
2578,"DLGOEMSEDOSKAD-UHFFFAOYSA-N","C(CCl)NC(=O)N(CCCl)N=O","C(CCl)NC(=O)N(CCCl)N=O"
2907,"CMSMOCZEIVJLDB-UHFFFAOYSA-N","C1CNP(=O)(OC1)N(CCCl)CCCl","C1CNP(=O)(OC1)N(CCCl)CCCl"
3218,"IRSFLDGTOHBADP-UHFFFAOYSA-N","CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O","CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O"
3385,"GHASVSINZRGABV-UHFFFAOYSA-N","C1=C(C(=O)NC(=O)N1)F","C1=C(C(=O)NC(=O)N1)F"
3796,"YVCXQRVVNQMZEI-UHFFFAOYSA-N","COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C(=C3)Br)O)Br)OC","COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C(=C3)Br)O)Br)OC"
3899,"VHOGYURTWQBHIL-UHFFFAOYSA-N","CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F","CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F"
4212,"KKZJGLLVHKMTCM-UHFFFAOYSA-N","C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO","C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO"
4261,"INVTYAOGFAGBOE-UHFFFAOYSA-N","C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3","C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3"
4993,"WKSAUQYGYAYLPV-UHFFFAOYSA-N","CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl","CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl"
5208,"NEZONWMXZKDMKF-UHFFFAOYSA-N","CC(=CCC(C1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)O)C","CC(=CCC(C1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)O)C"
5291,"KTUFNOKKBVMGRW-UHFFFAOYSA-N","CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5","CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5"
5311,"WAEXFXRVDQXREF-UHFFFAOYSA-N","C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO","C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO"
5394,"BPEGJWRSRHCHSN-UHFFFAOYSA-N","CN1C(=O)N2C=NC(=C2N=N1)C(=O)N","CN1C(=O)N2C=NC(=C2N=N1)C(=O)N"
5746,"NWIBSHFKIJFRCO-WUDYKRTCSA-N","CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N","CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N"
5978,"OGWKCGZFUXNPDA-XQKSVPLYSA-N","CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O","CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O"
6253,"UHDGCWIWMRVCDJ-CCXZUQQUSA-N","C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O","C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O"
8249,"ICFJFFQQTFMIBG-UHFFFAOYSA-N","C1=CC=C(C=C1)CCN=C(N)N=C(N)N","C1=CC=C(C=C1)CCN=C(N)N=C(N)N"
8269,"PHPUXYRXPHEJDF-UHFFFAOYSA-N","CC(=O)OC1=CC=C(C=C1)C2(C3=CC=CC=C3NC2=O)C4=CC=C(C=C4)OC(=O)C","CC(=O)OC1=CC=C(C=C1)C2(C3=CC=CC=C3NC2=O)C4=CC=C(C=C4)OC(=O)C"
9444,"NMUSYJAQQFHJEW-KVTDHHQDSA-N","C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N","C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N"
12035,"PWKSKIMOESPYIA-BYPYZUCNSA-N","CC(=O)NC(CS)C(=O)O","CC(=O)N[C@@H](CS)C(=O)O"
24360,"VSJKWCGYPAHWDS-FQEVSTJZSA-N","CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O","CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O"
31703,"AOJJSUZBOXZQNB-TZSSRYMLSA-N","CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O","C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O"
36314,"RCINICONZNJXQF-MZXODVADSA-N","CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C","CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C"
36462,"VJJPUSNTGOMMGY-MRVIYFEKSA-N","CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O","C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O"
41867,"AOJJSUZBOXZQNB-VTZDEGQISA-N","CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O","C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O"
42640,"MWFZDJLPWDCQIL-UHFFFAOYSA-N","CN1CCN(CC1)C2=CC=C(C3=NO[N+](=C23)[O-])[N+](=O)[O-]","CN1CCN(CC1)C2=CC=C(C3=NO[N+](=C23)[O-])[N+](=O)[O-]"
44259,"HKSZLNNOFSGOKW-FYTWVXJKSA-N","CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC","C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC"
60700,"UCFGDBYHRUNTLO-QHCPKHFHSA-N","CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O","CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O"
60750,"SDUQYLNIPVEERB-QPPQHZFASA-N","C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F","C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F"
60838,"UWKQSNNFCGGAFS-XIFFEERXSA-N","CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7","CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7"
65110,"NOTGFIUVDGNKRI-UUOKFMHZSA-N","C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N)C(=O)N","C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)N)C(=O)N"
68740,"XRASPMIURGNCCH-UHFFFAOYSA-N","C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O","C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O"
76044,"DLMYFMLKORXJPO-FQEVSTJZSA-N","C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)SCC(C(=O)O)N","C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)SC[C@@H](C(=O)O)N"
82146,"NAVMQTYZDKMPEU-UHFFFAOYSA-N","CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C","CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C"
87371,"FZHZQHNKCPJTNQ-UHFFFAOYSA-N","C1CNC(=O)C2=C1C3=CC=CC=C3N2","C1CNC(=O)C2=C1C3=CC=CC=C3N2"
104741,"VWUXBMIQPBEWFH-WCCTWKNTSA-N","CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F"
104842,"FJHBVJOVLFPMQE-QFIPXVFZSA-N","CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)O","CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)O"
107969,"SWZTYAVBMYWFGS-UHFFFAOYSA-N","CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N.Cl","CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N.Cl"
123631,"XGALLCVXEZPNRQ-UHFFFAOYSA-N","COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4","COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4"
124886,"RWSXRVCMGQZWBV-WDSKDSINSA-N","C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N","C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N"
