"Cell"	"Drug"	"Cell_BROAD"	"Cell_COSMIC"
"SIDM00003"	864	"ACH-002159"	905975
"SIDM00003"	4993	"ACH-002159"	905975
"SIDM00003"	5291	"ACH-002159"	905975
"SIDM00003"	12035	"ACH-002159"	905975
"SIDM00003"	76044	"ACH-002159"	905975
"SIDM00003"	124886	"ACH-002159"	905975
"SIDM00003"	160355	"ACH-002159"	905975
"SIDM00003"	442972	"ACH-002159"	905975
"SIDM00003"	644215	"ACH-002159"	905975
"SIDM00003"	5311510	"ACH-002159"	905975
"SIDM00003"	5329102	"ACH-002159"	905975
"SIDM00003"	5494449	"ACH-002159"	905975
"SIDM00003"	5717801	"ACH-002159"	905975
"SIDM00003"	6918837	"ACH-002159"	905975
"SIDM00003"	7251185	"ACH-002159"	905975
"SIDM00003"	9549184	"ACH-002159"	905975
"SIDM00003"	9826308	"ACH-002159"	905975
"SIDM00003"	9907093	"ACH-002159"	905975
"SIDM00003"	10172943	"ACH-002159"	905975
"SIDM00003"	10302451	"ACH-002159"	905975
"SIDM00003"	10461815	"ACH-002159"	905975
"SIDM00003"	11364421	"ACH-002159"	905975
"SIDM00003"	11626927	"ACH-002159"	905975
"SIDM00003"	11676786	"ACH-002159"	905975
"SIDM00003"	11844351	"ACH-002159"	905975
"SIDM00003"	16038120	"ACH-002159"	905975
"SIDM00003"	16663089	"ACH-002159"	905975
"SIDM00003"	16760646	"ACH-002159"	905975
"SIDM00003"	20635522	"ACH-002159"	905975
"SIDM00003"	24825971	"ACH-002159"	905975
"SIDM00003"	25226117	"ACH-002159"	905975
"SIDM00003"	25226483	"ACH-002159"	905975
"SIDM00003"	42628535	"ACH-002159"	905975
"SIDM00003"	46843772	"ACH-002159"	905975
"SIDM00003"	46843906	"ACH-002159"	905975
"SIDM00003"	46844147	"ACH-002159"	905975
"SIDM00003"	49821040	"ACH-002159"	905975
"SIDM00003"	49836027	"ACH-002159"	905975
"SIDM00003"	54670067	"ACH-002159"	905975
"SIDM00003"	57340680	"ACH-002159"	905975
"SIDM00003"	58525121	"ACH-002159"	905975
"SIDM00003"	70983932	"ACH-002159"	905975
"SIDM00003"	71550931	"ACH-002159"	905975
"SIDM00003"	71576693	"ACH-002159"	905975
"SIDM00023"	864	"ACH-002311"	946356
"SIDM00023"	9444	"ACH-002311"	946356
"SIDM00023"	12035	"ACH-002311"	946356
"SIDM00023"	124886	"ACH-002311"	946356
"SIDM00023"	446541	"ACH-002311"	946356
"SIDM00023"	992586	"ACH-002311"	946356
"SIDM00023"	44442376	"ACH-002311"	946356
"SIDM00023"	45168044	"ACH-002311"	946356
"SIDM00023"	46843906	"ACH-002311"	946356
"SIDM00023"	53315436	"ACH-002311"	946356
"SIDM00023"	54670067	"ACH-002311"	946356
"SIDM00023"	70983932	"ACH-002311"	946356
"SIDM00023"	71550931	"ACH-002311"	946356
"SIDM00023"	76285486	"ACH-002311"	946356
"SIDM00023"	78357767	"ACH-002311"	946356
"SIDM00023"	121271792	"ACH-002311"	946356
"SIDM00023"	122540908	"ACH-002311"	946356
"SIDM00023"	132275018	"ACH-002311"	946356
"SIDM00040"	864	"ACH-002202"	1299069
