Cell	Drug
SIDM00001	176870
SIDM00002	176870
SIDM00005	176870
SIDM00006	176870
SIDM00007	176870
SIDM00008	176870
SIDM00009	176870
SIDM00011	176870
SIDM00014	176870
SIDM00015	176870
SIDM00016	176870
SIDM00017	176870
SIDM00018	176870
SIDM00025	176870
SIDM00026	176870
SIDM00027	176870
SIDM00029	176870
SIDM00032	176870
SIDM00036	176870
SIDM00054	176870
SIDM00057	176870
SIDM00062	176870
SIDM00063	176870
SIDM00065	176870
SIDM00068	176870
SIDM00070	176870
SIDM00071	176870
SIDM00074	176870
SIDM00093	176870
SIDM00131	176870
SIDM00147	176870
SIDM00153	176870
SIDM00158	176870
SIDM00159	176870
SIDM00160	176870
SIDM00161	176870
SIDM00162	176870
SIDM00163	176870
SIDM00164	176870
SIDM00165	176870
SIDM00166	176870
SIDM00167	176870
SIDM00168	176870
SIDM00169	176870
SIDM00170	176870
SIDM00171	176870
SIDM00173	176870
SIDM00192	176870
SIDM00226	176870
SIDM00228	176870
SIDM00248	176870
SIDM00265	176870
SIDM00298	176870
SIDM00307	176870
SIDM00314	176870
SIDM00397	176870
SIDM00414	176870
SIDM00452	176870
SIDM00497	176870
SIDM00500	176870
SIDM00536	176870
SIDM00546	176870
SIDM00593	176870
SIDM00595	176870
SIDM00605	176870
SIDM00610	176870
SIDM00634	176870
SIDM00636	176870
SIDM00639	176870
SIDM00644	176870
SIDM00757	176870
SIDM00775	176870
SIDM00780	176870
SIDM00784	176870
SIDM00800	176870
SIDM00823	176870
SIDM00836	176870
SIDM00840	176870
SIDM00851	176870
SIDM00862	176870
SIDM00894	176870
SIDM00897	176870
SIDM00904	176870
SIDM00914	176870
SIDM00915	176870
SIDM00945	176870
SIDM00960	176870
SIDM00979	176870
SIDM00991	176870
SIDM01022	176870
SIDM01050	176870
SIDM01061	176870
SIDM01063	176870
SIDM01074	176870
SIDM01151	176870
SIDM01158	176870
SIDM01167	176870
SIDM01195	176870
SIDM01215	176870
SIDM01222	176870
SIDM01241	176870
SIDM01254	176870
SIDM01257	176870
SIDM01266	176870
SIDM01267	176870
SIDM01268	176870
SIDM01269	176870
SIDM01270	176870
SIDM01271	176870
SIDM01272	176870
SIDM01273	176870
SIDM01274	176870
SIDM01275	176870
SIDM01276	176870
SIDM01277	176870
SIDM01278	176870
SIDM01279	176870
SIDM01280	176870
SIDM01281	176870
SIDM01282	176870
SIDM01283	176870
SIDM01284	176870
SIDM01285	176870
SIDM01286	176870
SIDM01287	176870
SIDM01288	176870
SIDM01289	176870
SIDM01290	176870
SIDM01291	176870
SIDM01292	176870
SIDM01293	176870
SIDM01294	176870
SIDM01295	176870
SIDM01296	176870
SIDM01297	176870
SIDM01298	176870
SIDM01299	176870
SIDM01301	176870
SIDM01302	176870
SIDM01303	176870
SIDM01304	176870
SIDM01305	176870
SIDM01306	176870
SIDM01307	176870
SIDM01309	176870
SIDM01310	176870
SIDM01311	176870
SIDM01312	176870
SIDM01313	176870
SIDM01314	176870
SIDM01316	176870
SIDM01318	176870
SIDM01320	176870
SIDM01321	176870
SIDM01322	176870
SIDM01323	176870
SIDM01324	176870
SIDM01325	176870
SIDM01331	176870
SIDM01332	176870
SIDM01335	176870
SIDM01336	176870
SIDM01343	176870
SIDM01347	176870
SIDM01363	176870
SIDM01368	176870
SIDM01372	176870
SIDM01377	176870
SIDM01378	176870
SIDM01387	176870
SIDM01391	176870
SIDM01393	176870
SIDM01394	176870
SIDM01397	176870
SIDM01398	176870
SIDM01409	176870
SIDM01411	176870
SIDM01412	176870
SIDM01413	176870
SIDM01432	176870
SIDM01433	176870
SIDM01434	176870
SIDM01435	176870
SIDM01436	176870
SIDM01437	176870
SIDM01439	176870
SIDM01442	176870
SIDM01443	176870
SIDM01444	176870
