"Pathway1","Pathway2","Corr"
"BIOCARTA_GRANULOCYTES_PATHWAY","BIOCARTA_NEUTROPHIL_PATHWAY",0.881684713215794
"BIOCARTA_GRANULOCYTES_PATHWAY","BIOCARTA_LYM_PATHWAY",0.869205787777654
"BIOCARTA_GRANULOCYTES_PATHWAY","BIOCARTA_MONOCYTE_PATHWAY",0.84042201645307
"BIOCARTA_GRANULOCYTES_PATHWAY","BIOCARTA_LAIR_PATHWAY",0.807194998214643
"BIOCARTA_GRANULOCYTES_PATHWAY","BIOCARTA_LYMPHOCYTE_PATHWAY",0.783774904815827
"BIOCARTA_LYM_PATHWAY","BIOCARTA_LYMPHOCYTE_PATHWAY",0.874160226486806
"BIOCARTA_LYM_PATHWAY","BIOCARTA_MONOCYTE_PATHWAY",0.870885916058256
"BIOCARTA_LYM_PATHWAY","BIOCARTA_GRANULOCYTES_PATHWAY",0.869205787777654
"BIOCARTA_LYM_PATHWAY","BIOCARTA_LAIR_PATHWAY",0.849684814262636
"BIOCARTA_LYM_PATHWAY","BIOCARTA_NEUTROPHIL_PATHWAY",0.823172559097419
"BIOCARTA_BLYMPHOCYTE_PATHWAY","BIOCARTA_BBCELL_PATHWAY",0.849040333573552
"BIOCARTA_BLYMPHOCYTE_PATHWAY","BIOCARTA_ASBCELL_PATHWAY",0.843323873277464
"BIOCARTA_BLYMPHOCYTE_PATHWAY","BIOCARTA_TH1TH2_PATHWAY",0.813734377748228
"BIOCARTA_BLYMPHOCYTE_PATHWAY","BIOCARTA_GRANULOCYTES_PATHWAY",0.777147498098516
"BIOCARTA_BLYMPHOCYTE_PATHWAY","BIOCARTA_NEUTROPHIL_PATHWAY",0.771578857271097
"BIOCARTA_CARM_ER_PATHWAY","BIOCARTA_VDR_PATHWAY",0.770219709347816
"BIOCARTA_CARM_ER_PATHWAY","BIOCARTA_HSWI_SNF_PATHWAY",0.703349892473704
"BIOCARTA_CARM_ER_PATHWAY","BIOCARTA_PRC2_PATHWAY",0.660723391326301
"BIOCARTA_CARM_ER_PATHWAY","BIOCARTA_PITX2_PATHWAY",0.643621843732179
"BIOCARTA_CARM_ER_PATHWAY","BIOCARTA_RANBP2_PATHWAY",0.601428377333114
"BIOCARTA_LAIR_PATHWAY","BIOCARTA_LYM_PATHWAY",0.849684814262636
"BIOCARTA_LAIR_PATHWAY","BIOCARTA_GRANULOCYTES_PATHWAY",0.807194998214643
"BIOCARTA_LAIR_PATHWAY","BIOCARTA_MONOCYTE_PATHWAY",0.803802213324238
"BIOCARTA_LAIR_PATHWAY","BIOCARTA_LYMPHOCYTE_PATHWAY",0.796376672617719
"BIOCARTA_LAIR_PATHWAY","BIOCARTA_INFLAM_PATHWAY",0.756971491828996
"BIOCARTA_VDR_PATHWAY","BIOCARTA_HSWI_SNF_PATHWAY",0.84595222209751
"BIOCARTA_VDR_PATHWAY","BIOCARTA_CARM_ER_PATHWAY",0.770219709347816
"BIOCARTA_VDR_PATHWAY","BIOCARTA_PRC2_PATHWAY",0.735738490066194
"BIOCARTA_VDR_PATHWAY","BIOCARTA_SET_PATHWAY",0.683763619682293
"BIOCARTA_VDR_PATHWAY","BIOCARTA_PITX2_PATHWAY",0.677620736071741
"BIOCARTA_MTA3_PATHWAY","BIOCARTA_NPP1_PATHWAY",0.44466479484838
"BIOCARTA_MTA3_PATHWAY","BIOCARTA_VITCB_PATHWAY",0.407680693000949
"BIOCARTA_MTA3_PATHWAY","BIOCARTA_ACE2_PATHWAY",0.397354156045458
"BIOCARTA_MTA3_PATHWAY","BIOCARTA_AMI_PATHWAY",0.393416643739282
"BIOCARTA_MTA3_PATHWAY","BIOCARTA_INTRINSIC_PATHWAY",0.388128720635229
"BIOCARTA_GABA_PATHWAY","BIOCARTA_PARKIN_PATHWAY",0.391905339337123
"BIOCARTA_GABA_PATHWAY","BIOCARTA_TUBBY_PATHWAY",0.381004088761446
"BIOCARTA_GABA_PATHWAY","BIOCARTA_FLUMAZENIL_PATHWAY",0.362111151177448
"BIOCARTA_GABA_PATHWAY","BIOCARTA_BOTULIN_PATHWAY",0.32049168855418
"BIOCARTA_GABA_PATHWAY","BIOCARTA_LIS1_PATHWAY",0.312176990828327
"BIOCARTA_EGFR_SMRTE_PATHWAY","BIOCARTA_EEA1_PATHWAY",0.492088135188044
"BIOCARTA_EGFR_SMRTE_PATHWAY","BIOCARTA_PTEN_PATHWAY",0.437633356132415
"BIOCARTA_EGFR_SMRTE_PATHWAY","BIOCARTA_AGR_PATHWAY",0.425015406105626
"BIOCARTA_EGFR_SMRTE_PATHWAY","BIOCARTA_HER2_PATHWAY",0.420467420012962
"BIOCARTA_EGFR_SMRTE_PATHWAY","BIOCARTA_ERBB3_PATHWAY",0.412419203009197
"BIOCARTA_MONOCYTE_PATHWAY","BIOCARTA_LYMPHOCYTE_PATHWAY",0.968917835848704
"BIOCARTA_MONOCYTE_PATHWAY","BIOCARTA_NEUTROPHIL_PATHWAY",0.94521885127753
"BIOCARTA_MONOCYTE_PATHWAY","BIOCARTA_LYM_PATHWAY",0.870885916058256
"BIOCARTA_MONOCYTE_PATHWAY","BIOCARTA_GRANULOCYTES_PATHWAY",0.84042201645307
"BIOCARTA_MONOCYTE_PATHWAY","BIOCARTA_LAIR_PATHWAY",0.803802213324238
"BIOCARTA_RARRXR_PATHWAY","BIOCARTA_CARM1_PATHWAY",0.674145077212827
"BIOCARTA_RARRXR_PATHWAY","BIOCARTA_ERK5_PATHWAY",0.552279206009488
"BIOCARTA_RARRXR_PATHWAY","BIOCARTA_HSWI_SNF_PATHWAY",0.548162070916158
"BIOCARTA_RARRXR_PATHWAY","BIOCARTA_CREB_PATHWAY",0.543063486319945
"BIOCARTA_RARRXR_PATHWAY","BIOCARTA_VDR_PATHWAY",0.53047525769092
"BIOCARTA_NUCLEARRS_PATHWAY","BIOCARTA_FXR_PATHWAY",0.721635459087839
"BIOCARTA_NUCLEARRS_PATHWAY","BIOCARTA_MRP_PATHWAY",0.624060437702467
"BIOCARTA_NUCLEARRS_PATHWAY","BIOCARTA_PEPI_PATHWAY",0.623776296161184
"BIOCARTA_NUCLEARRS_PATHWAY","BIOCARTA_EXTRINSIC_PATHWAY",0.611989360828777
"BIOCARTA_NUCLEARRS_PATHWAY","BIOCARTA_CB1R_PATHWAY",0.578178857532433
"BIOCARTA_RANMS_PATHWAY","BIOCARTA_RAN_PATHWAY",0.844964496821431
