"Pathway1","Pathway2","Dist","Dist_P1","Dist_P2","Dist_P1_P2","Num1","Num2","Num_Overlap","Ratio_Overlap"
"BIOCARTA_41BB_PATHWAY","BIOCARTA_DEATH_PATHWAY",-0.294588510992569,1.30973451327434,2.13658536585366,1.42857142857143,29,18,5,0.119047619047619
"BIOCARTA_41BB_PATHWAY","BIOCARTA_CARDIACEGF_PATHWAY",-0.129119933535102,1.78832116788321,2.13658536585366,1.83333333333333,18,18,3,0.0909090909090909
"BIOCARTA_41BB_PATHWAY","BIOCARTA_FMLP_PATHWAY",-0.12058009400821,2.12467532467532,2.13658536585366,2.01005025125628,34,18,5,0.106382978723404
"BIOCARTA_41BB_PATHWAY","BIOCARTA_RNA_PATHWAY",-0.0638970785312249,1.2,2.13658536585366,1.6043956043956,10,18,4,0.166666666666667
"BIOCARTA_41BB_PATHWAY","BIOCARTA_D4GDI_PATHWAY",-0.0633907221425154,1.32352941176471,2.13658536585366,1.66666666666667,12,18,1,0.0344827586206897
"BIOCARTA_ACE2_PATHWAY","BIOCARTA_NPP1_PATHWAY",NA,NA,NA,0,10,13,6,0.352941176470588
"BIOCARTA_ACE2_PATHWAY","BIOCARTA_VITCB_PATHWAY",NA,NA,NA,0,13,11,6,0.333333333333333
"BIOCARTA_ACE2_PATHWAY","BIOCARTA_PLATELETAPP_PATHWAY",NA,NA,1.77777777777778,0,13,14,6,0.285714285714286
"BIOCARTA_ACE2_PATHWAY","BIOCARTA_AMI_PATHWAY",NA,1.87179487179487,NA,2.63157894736842,20,13,6,0.222222222222222
"BIOCARTA_ACE2_PATHWAY","BIOCARTA_INTRINSIC_PATHWAY",NA,NA,1.82222222222222,0,13,23,6,0.2
"BIOCARTA_ACETAMINOPHEN_PATHWAY","BIOCARTA_PPARG_PATHWAY",0.16374269005848,1.44444444444444,1.2280701754386,1.5,5,8,0,0
"BIOCARTA_ACETAMINOPHEN_PATHWAY","BIOCARTA_NUCLEARRS_PATHWAY",0.621709084345427,2.0863309352518,1.44444444444444,2.38709677419355,34,5,3,0.0833333333333333
