Pathway1,Pathway2,Edge_Type
BIOCARTA_41BB_PATHWAY,BIOCARTA_STRESS_PATHWAY,STRING_900
BIOCARTA_41BB_PATHWAY,BIOCARTA_TOLL_PATHWAY,STRING_900
BIOCARTA_41BB_PATHWAY,BIOCARTA_NTHI_PATHWAY,STRING_900
BIOCARTA_41BB_PATHWAY,BIOCARTA_IL1R_PATHWAY,STRING_900
BIOCARTA_41BB_PATHWAY,BIOCARTA_CD40_PATHWAY,STRING_900
BIOCARTA_ACE2_PATHWAY,BIOCARTA_PLATELETAPP_PATHWAY,STRING_900
BIOCARTA_ACE2_PATHWAY,BIOCARTA_NO1_PATHWAY,STRING_900
BIOCARTA_ACE2_PATHWAY,BIOCARTA_INTRINSIC_PATHWAY,STRING_900
BIOCARTA_ACE2_PATHWAY,BIOCARTA_MCALPAIN_PATHWAY,STRING_900
BIOCARTA_ACE2_PATHWAY,BIOCARTA_PTEN_PATHWAY,STRING_900
BIOCARTA_ACETAMINOPHEN_PATHWAY,BIOCARTA_NUCLEARRS_PATHWAY,STRING_900
BIOCARTA_ACETAMINOPHEN_PATHWAY,BIOCARTA_EICOSANOID_PATHWAY,STRING_900
BIOCARTA_ACETAMINOPHEN_PATHWAY,BIOCARTA_FREE_PATHWAY,STRING_900
BIOCARTA_ACETAMINOPHEN_PATHWAY,BIOCARTA_MRP_PATHWAY,STRING_900
BIOCARTA_ACETAMINOPHEN_PATHWAY,BIOCARTA_PPARA_PATHWAY,STRING_900
BIOCARTA_ACH_PATHWAY,BIOCARTA_PTEN_PATHWAY,STRING_900
BIOCARTA_ACH_PATHWAY,BIOCARTA_PTDINS_PATHWAY,STRING_900
BIOCARTA_ACH_PATHWAY,BIOCARTA_GLEEVEC_PATHWAY,STRING_900
BIOCARTA_ACH_PATHWAY,BIOCARTA_CXCR4_PATHWAY,STRING_900
BIOCARTA_ACH_PATHWAY,BIOCARTA_MET_PATHWAY,STRING_900
BIOCARTA_ACTINY_PATHWAY,BIOCARTA_SALMONELLA_PATHWAY,STRING_900
BIOCARTA_ACTINY_PATHWAY,BIOCARTA_RAC1_PATHWAY,STRING_900
BIOCARTA_ACTINY_PATHWAY,BIOCARTA_CDC42RAC_PATHWAY,STRING_900
BIOCARTA_ACTINY_PATHWAY,BIOCARTA_MAL_PATHWAY,STRING_900
BIOCARTA_ACTINY_PATHWAY,BIOCARTA_RAS_PATHWAY,STRING_900
BIOCARTA_AGPCR_PATHWAY,BIOCARTA_PLCE_PATHWAY,STRING_900
BIOCARTA_AGPCR_PATHWAY,BIOCARTA_CFTR_PATHWAY,STRING_900
BIOCARTA_AGPCR_PATHWAY,BIOCARTA_MPR_PATHWAY,STRING_900
BIOCARTA_AGPCR_PATHWAY,BIOCARTA_VIP_PATHWAY,STRING_900
BIOCARTA_AGPCR_PATHWAY,BIOCARTA_STATHMIN_PATHWAY,STRING_900
BIOCARTA_AGR_PATHWAY,BIOCARTA_MAL_PATHWAY,STRING_900
BIOCARTA_AGR_PATHWAY,BIOCARTA_PYK2_PATHWAY,STRING_900
BIOCARTA_AGR_PATHWAY,BIOCARTA_MET_PATHWAY,STRING_900
BIOCARTA_AGR_PATHWAY,BIOCARTA_RAC1_PATHWAY,STRING_900
BIOCARTA_AGR_PATHWAY,BIOCARTA_INTEGRIN_PATHWAY,STRING_900
BIOCARTA_AHSP_PATHWAY,BIOCARTA_SARS_PATHWAY,STRING_900
BIOCARTA_AHSP_PATHWAY,BIOCARTA_ARENRF2_PATHWAY,STRING_900
BIOCARTA_AHSP_PATHWAY,BIOCARTA_CARM_ER_PATHWAY,STRING_900
BIOCARTA_AHSP_PATHWAY,BIOCARTA_PPARA_PATHWAY,STRING_900
BIOCARTA_AHSP_PATHWAY,BIOCARTA_VDR_PATHWAY,STRING_900
BIOCARTA_AKAP13_PATHWAY,BIOCARTA_MCALPAIN_PATHWAY,STRING_900
BIOCARTA_AKAP13_PATHWAY,BIOCARTA_STATHMIN_PATHWAY,STRING_900
BIOCARTA_AKAP13_PATHWAY,BIOCARTA_DREAM_PATHWAY,STRING_900
BIOCARTA_AKAP13_PATHWAY,BIOCARTA_PAR1_PATHWAY,STRING_900
BIOCARTA_AKAP13_PATHWAY,BIOCARTA_CK1_PATHWAY,STRING_900
BIOCARTA_AKAP95_PATHWAY,BIOCARTA_AKAPCENTROSOME_PATHWAY,STRING_900
BIOCARTA_AKAP95_PATHWAY,BIOCARTA_MPR_PATHWAY,STRING_900
BIOCARTA_AKAP95_PATHWAY,BIOCARTA_CHREBP_PATHWAY,STRING_900
BIOCARTA_AKAP95_PATHWAY,BIOCARTA_STATHMIN_PATHWAY,STRING_900
BIOCARTA_AKAP95_PATHWAY,BIOCARTA_SHH_PATHWAY,STRING_900
BIOCARTA_AKAPCENTROSOME_PATHWAY,BIOCARTA_AKAP95_PATHWAY,STRING_900
BIOCARTA_AKAPCENTROSOME_PATHWAY,BIOCARTA_MPR_PATHWAY,STRING_900
BIOCARTA_AKAPCENTROSOME_PATHWAY,BIOCARTA_STATHMIN_PATHWAY,STRING_900
BIOCARTA_AKAPCENTROSOME_PATHWAY,BIOCARTA_CHREBP_PATHWAY,STRING_900
BIOCARTA_AKAPCENTROSOME_PATHWAY,BIOCARTA_CK1_PATHWAY,STRING_900
BIOCARTA_AKT_PATHWAY,BIOCARTA_LONGEVITY_PATHWAY,STRING_900
BIOCARTA_AKT_PATHWAY,BIOCARTA_PTEN_PATHWAY,STRING_900
BIOCARTA_AKT_PATHWAY,BIOCARTA_RAS_PATHWAY,STRING_900
BIOCARTA_AKT_PATHWAY,BIOCARTA_HCMV_PATHWAY,STRING_900
BIOCARTA_AKT_PATHWAY,BIOCARTA_RACCYCD_PATHWAY,STRING_900
BIOCARTA_ALK_PATHWAY,BIOCARTA_TGFB_PATHWAY,STRING_900
BIOCARTA_ALK_PATHWAY,BIOCARTA_WNT_PATHWAY,STRING_900
BIOCARTA_ALK_PATHWAY,BIOCARTA_CTCF_PATHWAY,STRING_900
BIOCARTA_ALK_PATHWAY,BIOCARTA_NFAT_PATHWAY,STRING_900
BIOCARTA_ALK_PATHWAY,BIOCARTA_TOB1_PATHWAY,STRING_900
BIOCARTA_ALTERNATIVE_PATHWAY,BIOCARTA_LECTIN_PATHWAY,STRING_900
BIOCARTA_ALTERNATIVE_PATHWAY,BIOCARTA_CLASSIC_PATHWAY,STRING_900
BIOCARTA_ALTERNATIVE_PATHWAY,BIOCARTA_COMP_PATHWAY,STRING_900
BIOCARTA_ALTERNATIVE_PATHWAY,BIOCARTA_LAIR_PATHWAY,STRING_900
BIOCARTA_ALTERNATIVE_PATHWAY,BIOCARTA_FIBRINOLYSIS_PATHWAY,STRING_900
BIOCARTA_AMAN_PATHWAY,BIOCARTA_SLRP_PATHWAY,STRING_900
BIOCARTA_AMAN_PATHWAY,BIOCARTA_ERAD_PATHWAY,STRING_900
BIOCARTA_AMAN_PATHWAY,BIOCARTA_HES_PATHWAY,STRING_900
BIOCARTA_AMAN_PATHWAY,BIOCARTA_NOTCH_PATHWAY,STRING_900
BIOCARTA_AMAN_PATHWAY,BIOCARTA_PS1_PATHWAY,STRING_900
BIOCARTA_AMI_PATHWAY,BIOCARTA_INTRINSIC_PATHWAY,STRING_900
BIOCARTA_AMI_PATHWAY,BIOCARTA_PLATELETAPP_PATHWAY,STRING_900
BIOCARTA_AMI_PATHWAY,BIOCARTA_EXTRINSIC_PATHWAY,STRING_900
BIOCARTA_AMI_PATHWAY,BIOCARTA_FIBRINOLYSIS_PATHWAY,STRING_900
BIOCARTA_AMI_PATHWAY,BIOCARTA_LAIR_PATHWAY,STRING_900
BIOCARTA_ARAP_PATHWAY,BIOCARTA_MYOSIN_PATHWAY,STRING_900
BIOCARTA_ARAP_PATHWAY,BIOCARTA_PAR1_PATHWAY,STRING_900
BIOCARTA_ARAP_PATHWAY,BIOCARTA_RHO_PATHWAY,STRING_900
BIOCARTA_ARAP_PATHWAY,BIOCARTA_RAC1_PATHWAY,STRING_900
BIOCARTA_ARAP_PATHWAY,BIOCARTA_CCR3_PATHWAY,STRING_900
BIOCARTA_ARENRF2_PATHWAY,BIOCARTA_EGF_PATHWAY,STRING_900
BIOCARTA_ARENRF2_PATHWAY,BIOCARTA_CDMAC_PATHWAY,STRING_900
BIOCARTA_ARENRF2_PATHWAY,BIOCARTA_PDGF_PATHWAY,STRING_900
BIOCARTA_ARENRF2_PATHWAY,BIOCARTA_CREB_PATHWAY,STRING_900
BIOCARTA_ARENRF2_PATHWAY,BIOCARTA_VIP_PATHWAY,STRING_900
BIOCARTA_ARF_PATHWAY,BIOCARTA_RACCYCD_PATHWAY,STRING_900
BIOCARTA_ARF_PATHWAY,BIOCARTA_G1_PATHWAY,STRING_900
BIOCARTA_ARF_PATHWAY,BIOCARTA_P53_PATHWAY,STRING_900
BIOCARTA_ARF_PATHWAY,BIOCARTA_TEL_PATHWAY,STRING_900
BIOCARTA_ARF_PATHWAY,BIOCARTA_ATM_PATHWAY,STRING_900
BIOCARTA_ASBCELL_PATHWAY,BIOCARTA_BBCELL_PATHWAY,STRING_900
BIOCARTA_ASBCELL_PATHWAY,BIOCARTA_TCAPOPTOSIS_PATHWAY,STRING_900
BIOCARTA_ASBCELL_PATHWAY,BIOCARTA_CTLA4_PATHWAY,STRING_900
BIOCARTA_ASBCELL_PATHWAY,BIOCARTA_TH1TH2_PATHWAY,STRING_900
