"Pathway1","Pathway2","Dist","Dist_P1","Dist_P2","Dist_P1_P2","Num1","Num2","Num_Overlap","Ratio_Overlap"
"BIOCARTA_41BB_PATHWAY","BIOCARTA_STRESS_PATHWAY",0.106095679012346,1.5679012345679,1.4375,1.6087962962963,18,24,10,0.3125
"BIOCARTA_41BB_PATHWAY","BIOCARTA_TOLL_PATHWAY",0.127871604938272,1.5679012345679,1.6608,1.74222222222222,18,25,9,0.264705882352941
"BIOCARTA_41BB_PATHWAY","BIOCARTA_NTHI_PATHWAY",0.136129197880931,1.54631379962193,1.5679012345679,1.69323671497585,23,18,6,0.171428571428571
"BIOCARTA_41BB_PATHWAY","BIOCARTA_IL1R_PATHWAY",0.142225819298313,1.59209157127992,1.5679012345679,1.72222222222222,31,18,9,0.225
"BIOCARTA_41BB_PATHWAY","BIOCARTA_CD40_PATHWAY",0.146321491559587,1.30612244897959,1.5679012345679,1.58333333333333,15,18,6,0.222222222222222
"BIOCARTA_ACE2_PATHWAY","BIOCARTA_PLATELETAPP_PATHWAY",0.320945537978505,2.03550295857988,1.80612244897959,2.24175824175824,13,14,6,0.285714285714286
"BIOCARTA_ACE2_PATHWAY","BIOCARTA_NO1_PATHWAY",0.348503664742981,2.23045267489712,2.03550295857988,2.48148148148148,28,13,0,0
"BIOCARTA_ACE2_PATHWAY","BIOCARTA_INTRINSIC_PATHWAY",0.37108086039306,2.03550295857988,1.89792060491493,2.33779264214047,13,23,6,0.2
"BIOCARTA_ACE2_PATHWAY","BIOCARTA_MCALPAIN_PATHWAY",0.372830238161582,2.03550295857988,1.74515235457064,2.26315789473684,13,19,0,0
"BIOCARTA_ACE2_PATHWAY","BIOCARTA_PTEN_PATHWAY",0.415534370662576,2.03550295857988,1.47530864197531,2.17094017094017,13,18,0,0
"BIOCARTA_ACETAMINOPHEN_PATHWAY","BIOCARTA_NUCLEARRS_PATHWAY",0.531496786042241,2.67033976124885,1.2,2.46666666666667,34,5,3,0.0833333333333333
"BIOCARTA_ACETAMINOPHEN_PATHWAY","BIOCARTA_EICOSANOID_PATHWAY",0.608163265306123,2.99319727891156,1.2,2.7047619047619,22,5,2,0.08
"BIOCARTA_ACETAMINOPHEN_PATHWAY","BIOCARTA_FREE_PATHWAY",1.07,1.2,2.22,2.78,5,10,0,0
"BIOCARTA_ACETAMINOPHEN_PATHWAY","BIOCARTA_MRP_PATHWAY",1.12222222222222,1.2,3.55555555555556,3.5,5,6,0,0
"BIOCARTA_ACETAMINOPHEN_PATHWAY","BIOCARTA_PPARA_PATHWAY",1.14156804733728,1.2,1.7707100591716,2.62692307692308,5,52,1,0.0178571428571429
"BIOCARTA_ACH_PATHWAY","BIOCARTA_PTEN_PATHWAY",0.0922776518014614,1.47530864197531,1.81632653061224,1.73809523809524,18,14,5,0.185185185185185
"BIOCARTA_ACH_PATHWAY","BIOCARTA_PTDINS_PATHWAY",0.11816673739439,2.13988657844991,1.81632653061224,2.09627329192547,23,14,2,0.0571428571428571
"BIOCARTA_ACH_PATHWAY","BIOCARTA_GLEEVEC_PATHWAY",0.125593148412484,1.53497164461248,1.81632653061224,1.80124223602484,23,14,5,0.15625
"BIOCARTA_ACH_PATHWAY","BIOCARTA_CXCR4_PATHWAY",0.129628582735033,1.49584487534626,1.81632653061224,1.78571428571429,19,14,3,0.1
"BIOCARTA_ACH_PATHWAY","BIOCARTA_MET_PATHWAY",0.130535409756189,1.81632653061224,1.58494031221304,1.83116883116883,14,33,4,0.0930232558139535
