Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.972	1.404	0.854	0.811	1.946	1.395	0.879	0.84
2	False	1.531	1.237	0.888	0.853	1.578	1.256	0.887	0.852
3	False	1.449	1.204	0.895	0.861	1.532	1.238	0.889	0.855
4	False	1.401	1.184	0.898	0.866	1.608	1.268	0.891	0.859
5	False	1.351	1.163	0.902	0.871	1.479	1.216	0.892	0.86
6	False	1.304	1.142	0.906	0.876	1.615	1.271	0.888	0.856
7	False	1.258	1.122	0.909	0.88	1.566	1.252	0.892	0.859
8	False	1.226	1.107	0.912	0.884	1.472	1.213	0.893	0.859
9	False	1.191	1.091	0.914	0.887	1.499	1.224	0.892	0.86
10	False	1.168	1.081	0.916	0.889	1.493	1.222	0.892	0.858
11	False	1.145	1.07	0.918	0.891	1.495	1.223	0.892	0.858
12	False	1.128	1.062	0.919	0.893	1.468	1.212	0.894	0.861
13	False	1.108	1.052	0.92	0.894	1.446	1.202	0.895	0.863
14	False	1.089	1.044	0.922	0.896	1.421	1.192	0.896	0.865
15	False	1.07	1.034	0.923	0.898	1.435	1.198	0.896	0.865
16	False	1.061	1.03	0.924	0.899	1.434	1.198	0.897	0.865
17	False	1.045	1.022	0.925	0.9	1.426	1.194	0.898	0.867
18	False	1.034	1.017	0.926	0.901	1.436	1.198	0.896	0.864
19	False	1.02	1.01	0.927	0.902	1.439	1.199	0.896	0.864
20	False	1.013	1.006	0.928	0.903	1.427	1.195	0.896	0.865
21	False	0.999	0.999	0.929	0.904	1.428	1.195	0.897	0.866
22	False	0.993	0.997	0.929	0.904	1.472	1.213	0.898	0.867
23	False	0.985	0.992	0.93	0.905	1.409	1.187	0.899	0.869
24	False	0.974	0.987	0.93	0.906	1.405	1.185	0.898	0.868
25	False	0.964	0.982	0.931	0.907	1.424	1.193	0.899	0.869
26	False	0.956	0.978	0.932	0.908	1.446	1.202	0.896	0.865
27	False	0.95	0.974	0.932	0.908	1.408	1.187	0.898	0.868
28	False	0.94	0.97	0.933	0.909	1.391	1.179	0.899	0.869
29	False	0.934	0.966	0.933	0.91	1.419	1.191	0.899	0.869
30	False	0.925	0.962	0.934	0.911	1.429	1.195	0.898	0.869
31	False	0.919	0.959	0.934	0.911	1.387	1.178	0.899	0.87
32	False	0.911	0.954	0.935	0.912	1.4	1.183	0.898	0.868
33	False	0.909	0.953	0.935	0.912	1.399	1.183	0.899	0.868
34	False	0.901	0.949	0.936	0.913	1.382	1.176	0.899	0.87
35	False	0.89	0.943	0.937	0.914	1.446	1.203	0.898	0.868
36	False	0.889	0.943	0.937	0.914	1.399	1.183	0.9	0.871
37	False	0.881	0.939	0.937	0.914	1.394	1.181	0.899	0.869
38	False	0.875	0.936	0.938	0.915	1.419	1.191	0.899	0.869
39	False	0.872	0.934	0.938	0.916	1.409	1.187	0.899	0.87
40	False	0.864	0.929	0.939	0.916	1.382	1.176	0.9	0.87
41	False	0.861	0.928	0.939	0.916	1.397	1.182	0.898	0.869
42	False	0.858	0.926	0.939	0.917	1.398	1.183	0.899	0.869
43	False	0.849	0.922	0.94	0.917	1.421	1.192	0.9	0.871
44	True	0.854	0.924	0.939	0.917	1.45	1.204	0.898	0.868
