Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.935	1.391	0.857	0.815	5.965	2.445	0.468	0.373
2	False	1.496	1.223	0.89	0.856	6.069	2.465	0.448	0.37
3	False	1.422	1.192	0.896	0.863	5.866	2.425	0.476	0.399
4	False	1.377	1.173	0.9	0.867	6.638	2.58	0.454	0.379
5	False	1.336	1.156	0.903	0.871	6.203	2.493	0.444	0.366
6	False	1.292	1.137	0.906	0.876	6.088	2.467	0.446	0.369
7	False	1.248	1.117	0.909	0.881	6.182	2.486	0.436	0.375
8	False	1.209	1.1	0.912	0.885	5.938	2.436	0.48	0.414
9	False	1.18	1.086	0.915	0.887	6.356	2.522	0.429	0.341
10	False	1.147	1.071	0.917	0.89	6.208	2.493	0.448	0.377
11	False	1.125	1.06	0.919	0.892	6.201	2.488	0.433	0.373
12	False	1.101	1.049	0.921	0.895	5.884	2.425	0.472	0.405
13	True	1.08	1.039	0.922	0.896	5.914	2.432	0.471	0.399
