Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	1.989	1.41	0.853	0.81	1.484	1.22	0.893	0.859
2	False	1.526	1.235	0.889	0.855	1.456	1.208	0.899	0.867
3	False	1.449	1.204	0.895	0.862	1.495	1.225	0.902	0.869
4	False	1.394	1.181	0.899	0.867	1.411	1.189	0.905	0.874
5	False	1.351	1.162	0.902	0.872	1.216	1.105	0.913	0.884
6	False	1.307	1.143	0.906	0.876	1.179	1.087	0.915	0.888
7	False	1.268	1.126	0.909	0.88	1.157	1.077	0.917	0.889
8	False	1.226	1.107	0.912	0.884	1.277	1.132	0.916	0.889
9	False	1.202	1.096	0.914	0.886	1.093	1.047	0.921	0.896
10	False	1.172	1.083	0.916	0.889	1.067	1.035	0.924	0.898
11	False	1.149	1.072	0.918	0.891	1.083	1.042	0.923	0.899
12	False	1.132	1.064	0.919	0.893	1.069	1.033	0.924	0.9
13	False	1.116	1.056	0.92	0.894	1.028	1.015	0.927	0.904
14	False	1.096	1.047	0.922	0.896	1.009	1.005	0.928	0.904
15	False	1.075	1.037	0.923	0.898	1.024	1.014	0.927	0.903
16	False	1.066	1.033	0.924	0.899	0.976	0.989	0.93	0.906
17	False	1.054	1.027	0.925	0.9	0.969	0.986	0.931	0.908
18	False	1.032	1.016	0.926	0.901	0.962	0.982	0.931	0.909
19	False	1.022	1.011	0.927	0.902	0.946	0.974	0.933	0.91
20	False	1.012	1.006	0.928	0.903	0.941	0.971	0.933	0.911
21	False	1.005	1.003	0.928	0.904	0.933	0.967	0.935	0.912
22	False	0.993	0.997	0.929	0.905	0.925	0.963	0.935	0.913
23	False	0.982	0.991	0.93	0.906	0.933	0.967	0.934	0.911
24	False	0.974	0.987	0.931	0.907	0.908	0.954	0.935	0.913
25	False	0.966	0.983	0.931	0.907	0.912	0.956	0.936	0.914
26	False	0.956	0.978	0.932	0.908	0.898	0.948	0.937	0.915
27	False	0.948	0.973	0.933	0.909	0.897	0.949	0.937	0.915
