Epoch	Early_Stop	Train_MSE	Train_RMSE	Train_PCC	Train_SCC	Valid_MSE	Valid_RMSE	Valid_PCC	Valid_SCC
1	False	2.214	1.488	0.841	0.794	5.009	2.241	0.43	0.398
2	False	1.628	1.276	0.884	0.847	5.198	2.283	0.406	0.391
3	False	1.539	1.24	0.891	0.856	5.134	2.271	0.442	0.428
4	False	1.487	1.22	0.895	0.86	5.536	2.358	0.395	0.379
5	False	1.462	1.207	0.897	0.864	5.026	2.247	0.435	0.405
6	False	1.414	1.189	0.9	0.867	4.92	2.222	0.418	0.387
7	False	1.381	1.175	0.903	0.871	5.052	2.252	0.438	0.414
8	False	1.354	1.164	0.905	0.873	4.674	2.167	0.439	0.411
9	False	1.316	1.147	0.908	0.877	4.864	2.209	0.438	0.414
10	False	1.294	1.137	0.909	0.879	5.433	2.338	0.415	0.388
11	False	1.269	1.125	0.911	0.882	5.239	2.293	0.422	0.406
12	False	1.246	1.116	0.913	0.884	5.21	2.289	0.418	0.394
13	False	1.227	1.108	0.914	0.885	5.072	2.256	0.427	0.4
14	False	1.207	1.098	0.916	0.888	4.758	2.185	0.44	0.426
15	False	1.195	1.093	0.917	0.889	4.798	2.195	0.447	0.417
16	False	1.177	1.085	0.918	0.89	4.986	2.239	0.424	0.395
17	False	1.164	1.079	0.919	0.891	4.83	2.201	0.429	0.408
18	False	1.149	1.072	0.92	0.892	4.62	2.152	0.437	0.41
19	False	1.142	1.068	0.92	0.893	4.844	2.203	0.426	0.403
20	False	1.127	1.061	0.921	0.894	4.666	2.164	0.434	0.411
21	False	1.119	1.058	0.922	0.895	4.567	2.139	0.435	0.392
22	False	1.1	1.049	0.923	0.896	4.676	2.167	0.459	0.429
23	False	1.087	1.042	0.924	0.898	4.655	2.16	0.457	0.439
24	False	1.081	1.039	0.925	0.898	4.623	2.153	0.458	0.429
25	False	1.075	1.035	0.925	0.899	4.671	2.163	0.433	0.407
26	False	1.055	1.027	0.927	0.9	4.598	2.148	0.433	0.411
27	False	1.05	1.025	0.927	0.901	4.7	2.172	0.435	0.411
28	False	1.033	1.016	0.928	0.902	4.708	2.174	0.434	0.413
29	False	1.027	1.013	0.929	0.902	4.582	2.144	0.438	0.416
30	False	1.016	1.008	0.929	0.903	4.682	2.168	0.429	0.408
31	True	1.002	1.001	0.93	0.905	4.778	2.19	0.418	0.39
